店名,评论,口味,环境,服务,总分数
 马路边边串串香(盐市口店) ,6255,8.1,8.1,8.1,5.750000000000001
 俭让佬妈现卤串串(温江总店) ,5798,8.1,8.1,8.1,5.750000000000001
 八二小区抄手(建中路店) ,6289,8.1,8.1,8.1,5.750000000000001
 简单味道(华阳店) ,3147,8.4,8.5,8.3,5.75
 里院传家菜·小庭院川菜(九眼桥店) ,3279,8.4,8.4,8.3,5.75
 多恩餐厅 Dawn Bistro ,3096,8.3,8.5,8.5,5.75
 蜀九香火锅(百花iHome店) ,5895,8.2,8.1,8.0,5.75
 兰香村土菜馆 ,3372,8.5,8.3,8.4,5.749999999999999
 夹夹大·蟹蟹大排档(339店) ,8472,8.1,7.6,7.9,5.700000000000001
 宫廷糕点铺 ,7989,8.1,7.8,7.7,5.700000000000001
 黑竹香鸡(营和巷店) ,9241,8.1,7.1,7.6,5.700000000000001
 盘飧市(春熙路店) ,8982,8.0,8.0,7.9,5.700000000000001
 乐山王屠夫跷脚牛肉(安公路总店) ,8301,8.1,7.8,7.9,5.700000000000001
 子非(宽窄巷子店) ,2181,8.5,9.1,9.1,5.7
 安格丽娜·狗咖·猫咖羊驼咖(春熙路百盛商场店) ,4544,8.1,8.3,8.4,5.7
 夹夹大·蟹蟹大排档(财富又一城店) ,4318,8.3,8.3,8.2,5.699999999999999
 舌尖牧牛·潮汕牛肉(凯德广场店) ,1953,8.8,8.9,8.9,5.699999999999999
 千寿精致料理·寿喜烧(王府井店) ,2566,8.7,8.3,8.9,5.65
